[2026-05-14 02:00:00.184] [37016433] [INFO] [L3701643319T20260514020000183R16035] [数据交互|收到设备控制服务数据] |25车道--外设控制服务输入信息(ETC交易受理E1)为FFFF007000000196E10037016433190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000405636413701085600047965C9BDB6AB370100011651202604012036040110200100000000000000000004C2B34242383336313500000000040B00176B080C08660007760008C50010BD024C56424A334A3056375345303434353636B8A3CCEFC5C6424A3130343545564A41FFFFFFFFFFFFFFFFFFFFFFFFFFFF000000000000000000000000000000000000FFFC7676C9BDB6AB370100011751370125052361000538362026040120360401C2B34242383336313500000000040BAA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FF0000104900AA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FFC9BDB6AB370100011751370125052361000538360001001328001049000A018092000000000013280A001049D3319D176F137BB5000000220000002200017786951999220101000000000000000000290B
[2026-05-14 02:00:00.198] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|发送名单服务数据] |查询称重信息 请求：{"filename":"ENREFUSE_LIST_REQ_3701643319_20260514020000198.json","sign":"NONE","bizContent":{"msgId":"37016433192026051402089543","laneFlag":2,"vehicleId":"鲁BB83615_4"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:00:00"}
[2026-05-14 02:00:00.201] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|收到名单服务数据] |查询称重信息 响应：{"filename":"ENREFUSE_LIST_RES_3701643319_20260514020000200.json","bizContent":"{\"code\":1,\"codeInfo\":\"根据车牌[鲁BB83615]查询称重信息查询无记录，vehicleId：鲁BB83615_4\",\"receiveTime\":\"2026-05-14T02:00:00.200\",\"msgId\":\"37016433192026051402089543\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:00:00.201] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询治超系统称重数据 未查询到鲁BB83615_4的称重信息
[2026-05-14 02:00:00.201] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |比对入出口车牌是否一致 0019文件车牌：鲁BB83615；OBU内车牌：鲁BB83615；一致
[2026-05-14 02:00:00.201] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询车辆是否重取TAC 该车辆上次入口站：37011011，上次通行状态：01，上次通行时间：2026-05-14 00:38:36；非重取TAC车辆
[2026-05-14 02:00:00.201] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_3701643319_20260514020000201.json","sign":"NONE","bizContent":{"msgId":"37016433192026051402089544","hex":"3701101104","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:00:00"}
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_3701643319_20260514020000201.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37011011\",\"stationId\":\"G1511370010010\",\"stationName\":\"山东日照站\",\"tollLaneHex\":\"3701101104\",\"tollLaneId\":\"G15113700100101010040\",\"receiveTime\":\"2026-05-14T02:00:00.201\",\"msgId\":\"37016433192026051402089544\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |判断入口信息是否有效 入口站：37011011，入口车道3701101104；查询到入口站名称：山东日照站；入口信息合法
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |判断入口信息是否有效 0019文件中入口时间：2026-05-14T00:38:36；通行状态为：01；入口路网号为：3701；入口站为：1011；前3位字节为：AA2900；入口信息有效
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询OBU入口信息是否有效 EF04内入口站为：1011，入口时间为：2026-05-14 00:38:36；通行省份个数为：1；第320－322字节为：AA2900；有效
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询ETC卡与OBU EF04内卡片文件是否一致 EF04内卡号为：2505236100053836，0015内卡号为：2505236100053836；一致，
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询ETC卡与OBU EF04内卡片文件是否一致 EF04内入口站为：1011，入口时间为：2026-05-14 00:38:36；0019内入口站为：1011，入口时间为：2026-05-14 00:38:36，一致
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询入出口车型是否一致 0019文件车型：11；OBU内车型：11；一致
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |判断是否为反向车辆 该车辆上次入口站：37011011，上次通行状态：01，上次通行时间：2026-05-14 00:38:36；非反向车辆
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |判断是否为U转车辆 该车辆上次入口站：37011011，上次通行状态：01，上次通行时间：2026-05-14 00:38:36；非U转车辆
[2026-05-14 02:00:00.204] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|发送名单服务数据] |查询节假日免费时段信息 请求：{"filename":"FREE_TIME_LIST_REQ_3701643319_20260514020000204.json","sign":"NONE","bizContent":{"msgId":"37016433192026051402089545"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:00:00"}
[2026-05-14 02:00:00.207] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|收到名单服务数据] |查询节假日免费时段信息 响应：{"filename":"FREE_TIME_LIST_RES_3701643319_20260514020000207.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"freeTime\":[{\"spare4\":\"81\",\"spare3\":\"1\",\"beginTime\":\"2026-02-15T00:00:00\",\"endTime\":\"2026-02-24T00:00:00\",\"spare2\":\"1000000000000000000000\",\"spare1\":\"春节\"},{\"spare4\":\"82\",\"spare3\":\"1\",\"beginTime\":\"2026-04-04T00:00:00\",\"endTime\":\"2026-04-07T00:00:00\",\"spare2\":\"1000000000000000000000\",\"spare1\":\"清明节\"},{\"spare4\":\"83\",\"spare3\":\"1\",\"beginTime\":\"2026-05-01T00:00:00\",\"endTime\":\"2026-05-06T00:00:00\",\"spare2\":\"1000000000000000000000\",\"spare1\":\"劳动节\"},{\"spare4\":\"84\",\"spare3\":\"1\",\"beginTime\":\"2026-10-01T00:00:00\",\"endTime\":\"2026-10-08T00:00:00\",\"spare2\":\"1000000000000000000000\",\"spare1\":\"国庆节\"}],\"receiveTime\":\"2026-05-14T02:00:00.207\",\"msgId\":\"37016433192026051402089545\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:00:00.207] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |判断是否为节假日车辆 车型：11，出口时间：2026-05-14T02:00:00；非节假日车辆
[2026-05-14 02:00:00.207] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |比对车型识别数据与OBU入口信息的车型、轴数否一致 车型识别设备中的车型_轴数为：11_2；OBU入口信息中的车型_轴数为：11_2；一致
[2026-05-14 02:00:00.207] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |比对车型识别数据和OBU发行信息中的车型_轴数是否一致 车型识别数据中的车型_轴数为：11_2；OBU发行信息中的车型_轴数为：11_2；一致
[2026-05-14 02:00:00.207] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|发送名单服务数据] |查询参数版本信息 请求：{"filename":"BASIC_PARAM_VERSIONQUERY_REQ_3701643319_20260514020000207.json","sign":"NONE","bizContent":{"msgId":"37016433192026051402089546"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:00:00"}
[2026-05-14 02:00:00.210] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|收到名单服务数据] |查询参数版本信息 响应：{"filename":"BASIC_PARAM_VERSIONQUERY_RES_3701643319_20260514020000209.json","bizContent":"{\"holidayVersion\":\"26012301_2026-01-23T00:00:00\",\"code\":0,\"gbCardBListVersion\":\"76051101_2026-05-11T12:00:01\",\"areaCodeVersion\":\"21011401_2021-01-11T00:00:00\",\"codeInfo\":\"查询成功有记录\",\"orgCodeVersion\":\"26040701_2026-04-24T00:00:00\",\"msgId\":\"37016433192026051402089546\",\"operVersion\":\"26040301_1900-01-01T00:00:00\",\"gantryVersion\":\"26040701_2026-04-24T00:00:00\",\"greylistVersion\":\"70514008_2026-05-14T01:45:04\",\"underRelationVersion\":\"26040701_2026-04-24T00:00:00\",\"SpfuncVersion\":\"26012301_2026-01-23T00:00:00\",\"basicInfoVersion\":\"20260514_2026-05-14T01:00:23\",\"spfuncVersion\":\"26012301_2026-01-23T00:00:00\",\"gbCardBListCreVersion\":\"70514024_2026-05-14T01:55:01\",\"gbAllPathVersion\":\"26050902_2026-05-09T00:00:00|26051501_2026-05-15T00:00:00\",\"publishVersion\":\"24120601_1900-01-01T00:00:00\",\"sysParaVersion\":\"24120601_1900-01-01T00:00:00\",\"gbVBListVersion\":\"26051408_2026-05-14T01:45:01\",\"emergencyAppointVersion\":\"26051408_2026-05-14T01:45:01\",\"receiveTime\":\"2026-05-14 02:00:00.209\",\"shortPathVersion\":\"26040701_2026-04-24T00:00:00\",\"shiftVersion\":\"10061502_2010-06-15T15:30:11\",\"heavyTransVersion\":\"26051365_2026-05-13T16:00:01\",\"greenTrafficVersion\":\"26051408_2026-05-14T01:45:01\",\"vgListVersion\":\"66000800_2026-05-13T00:00:00|66000800_2026-05-13T00:00:00\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:00:00.210] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |鲁BB83615_4校验结束---
[2026-05-14 02:00:00.210] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|车辆交易数据处理] |25车道MTC出口交易受理--校验通过，车辆鲁BB83615开始进行计费
[2026-05-14 02:00:00.210] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|发送计费服务数据] |调用出口计费服务 请求：{"filename":"BASIC_FEE_EXCALC_REQ_3701643319_20260514020000210.json","auth":"cvicse","bizContent":{"cPUCardType":23,"cPUVersion":51,"eTCCARD0002":"4294735478","eTCCARD0015":"C9BDB6AB370100011751370125052361000538362026040120360401C2B34242383336313500000000040B","eTCCARD0019":"AA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FF00001049","enAxleCount":2,"enStationHex":"37011011","enStationId":"G1511370010010","enTime":"2026-05-14T00:38:36","enTollLaneId":"G15113700100101010040","enVehicleType":11,"exAxleCount":2,"exStationHex":"37016433","exStationId":"G0015370050030","exTime":"2026-05-14T02:00:00","exTollLaneId":"G00153700500302020040","exVehicleType":11,"isDiscount":1,"issuerId":"370101","mediaNo":"3701085600047965","mediaType":1,"msgId":"37016433192026051402089540","oBUEF01":"C2B34242383336313500000000040B00176B080C08660007760008C50010BD024C56424A334A3056375345303434353636B8A3CCEFC5C6424A3130343545564A41FFFFFFFFFFFFFFFFFFFFFFFFFFFF0000000000000000000000000000000000","oBUEF04":"AA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FFC9BDB6AB370100011751370125052361000538360001001328001049000A018092000000000013280A001049D3319D176F137BB5","passId":"013701250523610005383620260514003836","pathInfo":[{"gantryHex":"3D730A","gantryType":"1","passTime":"2026-05-14 01:56:55"}],"pathInfoEdited":"0","preBalance":4294735478,"spare2":2,"spare4":"1","transPayType":1,"validShortFee":1,"vehicleClass":0,"vehicleId":"鲁BB83615_4","vehicleSign":"0xff","vehicleUserType":0},"sign":"NONE","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:00:00"}
[2026-05-14 02:00:00.226] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|收到计费服务数据] |调用出口计费服务 响应：{"statusCode":0,"errorMsg":"响应成功","sign":"NONE","bizContent":"{\"billingVehicleType\":11,\"calCostTime\":9,\"checkCode\":\"TBG=J_aN|37011011|2026-05-14T00:38:36|37016433|G00153700500302020040|1|3701085600047965|2|11|11|0|2|4169|4904|735|98450|013701250523610005383620260514003836|0xff|1|11\",\"code\":\"0\",\"codeInfo\":\"计费成功\",\"cpcFeeInfo\":null,\"diffFeeInfo\":null,\"diffInfo\":null,\"diffState\":0,\"diffTotalDiscountFee\":null,\"diffTotalPayFee\":null,\"diffTotalRealFee\":null,\"discountType\":null,\"etcFeeInfo\":{\"discountFee\":735,\"fee\":4169,\"feeInfo\":{\"cardFee\":0,\"discountFee\":0,\"discountFeeGroup\":\"0\",\"feeCalcSpecials\":\"0\",\"feeGroup\":\"0\",\"feeInfo1\":\"G:G001537005000920010|T:2026-05-14T02:00:00|ES:37011011|ET:2026-05-14T00:38:36|LG:3D730A|LT:2026-05-14 01:56:55|TT:1|PH:C2B342423833363135000000|PC:4|VT:11|EVT:11|EAC:2|TW:0|VSF:255|BH:|PSL:4904|RSL:4169|CN:3701|UT:0|CT:23|SP1:0|MV:20241216006|PV:20260509002|vc:0|vt:11|ac:2|ad:0|R:0,201,0=,0:0 ECODE:0x20000\",\"feeInfo2\":\"2\",\"feeInfo3\":\"3D730B|4169\",\"feeLogMsg\":null,\"feeMileage\":98450,\"feeProvBeginHexFit\":\"\",\"feeProvBeginTimeFit\":\"\",\"feeProvSumLocal\":4169,\"feeSpare1\":4904,\"feeSpare2\":0,\"feeSpare3\":\"\",\"feeVehicleType\":11,\"fitProvFlag\":0,\"gantryPassHexFit\":\"\",\"gantryPassNumFit\":0,\"pathFitFlag\":0,\"payFee\":0,\"payFeeGroup\":\"0\",\"provMinFee\":\"\",\"rateVersion\":\"3720260509002|3720260509002\",\"realFee\":0,\"tollIntervalIDs\":\"G0015370050009201\"},\"feeMileage\":98450,\"payFee\":4904},\"exitFeeType\":1,\"lanespinfo\":\"\",\"miniFeeInfo\":{\"calMinFeeFee\":4900,\"calMinFeeFee95\":4169,\"calMinFeeMileage\":98450,\"calMinFeediscountFee\":731,\"feeInfo\":null,\"spcRateVersion\":\"26050902\",\"splitProvince\":[{\"calMinFeeFee\":4900,\"calMinFeeFee95\":4169,\"calMinFeeMileage\":98450,\"calMinFeediscountFee\":731,\"discountFeeGroup\":\"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0\",\"feeGroup\":\"0|80|471|392|370|497|219|228|400|379|729|200|789|150|0\",\"payFeeGroup\":\"0|80|471|392|370|497|219|228|400|379|729|200|789|150|0\",\"provinceId\":37,\"provincesDiscountFee\":null,\"rateVersion\":\"3720260509002|3720260509002\",\"tollIntervalsCount\":15,\"tollIntervalsGroup\":\"G151137001001710|G151137001000110|G001537010001620|G001537010001420|G001537010001220|G001537006000720|G001537006002220|G001537006002020|G001537006001620|G001537006002620|G001537006002720|G001537006001020|G001537006001120|G001537006001220|G001537005000920\",\"transTimeGroup\":\"2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36|2026-05-14T00:38:36\"}]},\"msgId\":\"37016433192026051402089540\",\"onlineFeeInfo\":null,\"openFeeInfo\":null,\"originFee\":null,\"paraVer\":\"8420260509002\",\"preParaVer\":\"\",\"provinceDiscountFee\":null,\"rateVersion\":\"3720260509002|3720260509002\",\"receiveTime\":\"2026-05-14T02:00:00\",\"spcRateVersion\":\"26050902\",\"specialType\":\"\"}","filename":"BASIC_FEE_EXCALC_RES_3701643319_20260514020000214.json"}
[2026-05-14 02:00:00.227] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|车辆交易数据处理] |25车道MTC出口交易受理--车辆鲁BB83615计费成功
[2026-05-14 02:00:00.228] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|发送设备控制服务数据] |25车道发送指令到外设控制服务:FFFF000700000137E10000003701643319000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040563641370108560004796500000000C2B342423833363135000000040B00020007760014B4011700001049000002DF0000104920260514020000000000000000AA290037016433196A04BC200B023D730B6A04BC20C2B3424238333631350000000402FFFFFFFF000010495F0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000020000E61C
[2026-05-14 02:00:00.228] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|车辆交易数据处理] |25车道MTC出口交易受理--车辆鲁BB83615交易受理流程结束
