[2026-05-14 00:00:02.559] [37016433] [INFO] [L3701643351T20260514000002559R85805] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_3701643351_20260514000002559.json","sign":"NONE","bizContent":{"msgId":"37016433512026051400088851","hex":"3701643351","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:00:02"}
[2026-05-14 00:00:02.574] [37016433] [INFO] [L370164335BT20260514000002574R85812] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335B_20260514000002574.json","sign":"NONE","bizContent":{"msgId":"370164335B2026051400088855"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:00:02"}
[2026-05-14 00:00:02.577] [37016433] [INFO] [L370164335BT20260514000002574R85812] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335B_20260514000002574.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T00:00:02.574\",\"msgId\":\"370164335B2026051400088855\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:00:02.578] [37016433] [INFO] [L370164335BT20260514000002578R85813] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335B_20260514000002578.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335B2026051400088856"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:00:02"}
[2026-05-14 00:00:02.580] [37016433] [INFO] [L370164335BT20260514000002578R85813] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335B_20260514000002580.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335B2026051400088856\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 00:00:02.580\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:00:02.581] [37016433] [INFO] [L370164335BT20260514000002571R85808] [定时任务] |91车道当前切换出口小时批次信息为：TblExWorkSumHourRecEntity(batchnum=G001537005003020209102026051323000201, hourbatch=2026051323, station=500303, lane=91, stationid=G0015370050030, laneid=G00153700500302020910, workdate=Wed May 13 00:00:00 GMT+08:00 2026, checktime=Wed May 13 23:00:02 GMT+08:00 2026, shift=06, shiftName=第三班, tollcollectorid=999999999, tollcollectorname=ETC操作员1, lanetype=1, blSubcenter=5003, blCenter=50, starttime=Wed May 13 23:00:02 GMT+08:00 2026, endtime=Thu May 14 00:00:02 GMT+08:00 2026, statusflag=1, invstartno=0, invnum=0, badinvnum=0, cashrecordcnt=0, vcnt=0, inductcnt=0, cpccnt=0, papcnt=0, damcardcnt=0, etccardcnt=0, cashfee=0, thirdpayfee=0, unipayfee=0, etcfee=0, alipayfee=0, wechatfee=0, cashcardfee=0, thirdcardfee=0, unipaycardfee=0, etccardfee=0, alipaycardfee=0, wechatcardfee=0, unpaycardcost=0, cashfreemoney=0, cashrebatemoney=0, posfreemoney=0, posrebatemoney=0, transcnt=0, transfeesum=0, ticketfee=0, unifiedfee=0, invendno=0, checkflag=0, chargemode=1, laneappver=, laneparaver=, lanenewparaver=null, spare1=null, spare2=null, finishFlag=true, laneHex=370164335B, laneIdPro=91, laneRole=null, laneState=null, loginTime=null, occurTime=null, oper=null, operName=null, psamTerm=null, paraVerPreNew=null, releaseTime=null, shift1=null, stationHex=37016433, triggerTime=null, wasteSn=null, description=null, direction=null, ldate=null, laneId1=null, modifyFlag=null, paraVer=null, signStatus=null, stationId1=null, stationName=山东王台站, transFlag=null, unsendcardcnt=null, wGroupId=null, wLaneType=null)
[2026-05-14 00:00:02.582] [37016433] [INFO] [L370164335FT20260514000002582R85815] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514000002582.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051400088857","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:00:02"}
[2026-05-14 00:00:02.582] [37016433] [INFO] [L3701643300T20260514000002582R85816] [ ] [处理流程|流水生成] |redis入库成功--key：WASTE_EXHOURREC202605132391, 有过期时间
[2026-05-14 00:00:02.582] [37016433] [INFO] [L3701643300T20260514000002582R85817] [ ] [处理流程|流水生成] |redis入库成功--key：WASTE_EXHOURREC202605140091, 有过期时间
[2026-05-14 00:00:02.584] [37016433] [INFO] [L370164335FT20260514000002582R85815] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514000002583.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T00:00:02.583\",\"msgId\":\"370164335F2026051400088857\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:00:02.584] [37016433] [INFO] [L370164335FT20260514000002584R85818] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514000002584.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051400088858"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:00:02"}
[2026-05-14 00:00:02.587] [37016433] [INFO] [L370164335FT20260514000002584R85818] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514000002583.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T00:00:02.584\",\"msgId\":\"370164335F2026051400088858\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:00:02.587] [37016433] [INFO] [L370164335FT20260514000002587R85819] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514000002587.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051400088859"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:00:02"}
[2026-05-14 00:00:02.589] [37016433] [INFO] [L370164335FT20260514000002587R85819] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514000002589.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051400088859\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 00:00:02.589\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:00:02.590] [37016433] [INFO] [L370164335FT20260514000002581R85814] [定时任务] |95车道当前切换出口小时批次信息为：TblExWorkSumHourRecEntity(batchnum=G001537005003020209502026051323000201, hourbatch=2026051323, station=500303, lane=95, stationid=G0015370050030, laneid=G00153700500302020950, workdate=Wed May 13 00:00:00 GMT+08:00 2026, checktime=Wed May 13 23:00:02 GMT+08:00 2026, shift=06, shiftName=第三班, tollcollectorid=999999999, tollcollectorname=ETC操作员1, lanetype=1, blSubcenter=5003, blCenter=50, starttime=Wed May 13 23:00:02 GMT+08:00 2026, endtime=Thu May 14 00:00:02 GMT+08:00 2026, statusflag=1, invstartno=0, invnum=0, badinvnum=0, cashrecordcnt=0, vcnt=0, inductcnt=0, cpccnt=0, papcnt=0, damcardcnt=0, etccardcnt=0, cashfee=0, thirdpayfee=0, unipayfee=0, etcfee=0, alipayfee=0, wechatfee=0, cashcardfee=0, thirdcardfee=0, unipaycardfee=0, etccardfee=0, alipaycardfee=0, wechatcardfee=0, unpaycardcost=0, cashfreemoney=0, cashrebatemoney=0, posfreemoney=0, posrebatemoney=0, transcnt=0, transfeesum=0, ticketfee=0, unifiedfee=0, invendno=0, checkflag=0, chargemode=1, laneappver=, laneparaver=, lanenewparaver=null, spare1=null, spare2=null, finishFlag=true, laneHex=370164335F, laneIdPro=95, laneRole=null, laneState=null, loginTime=null, occurTime=null, oper=null, operName=null, psamTerm=null, paraVerPreNew=null, releaseTime=null, shift1=null, stationHex=37016433, triggerTime=null, wasteSn=null, description=null, direction=null, ldate=null, laneId1=null, modifyFlag=null, paraVer=null, signStatus=null, stationId1=null, stationName=山东王台站, transFlag=null, unsendcardcnt=null, wGroupId=null, wLaneType=null)
[2026-05-14 00:00:02.590] [37016433] [INFO] [L3701643300T20260514000002590R85820] [ ] [处理流程|流水生成] |redis入库成功--key：WASTE_EXHOURREC202605132395, 有过期时间
[2026-05-14 00:00:02.591] [37016433] [INFO] [L3701643300T20260514000002591R85821] [ ] [处理流程|流水生成] |redis入库成功--key：WASTE_EXHOURREC202605140095, 有过期时间
[2026-05-14 00:00:10.128] [37016433] [INFO] [系统信息|服务信息] |服务正常:18.1.1.1
[2026-05-14 00:00:10.991] [37016433] [INFO] [L3701643300T20260514000010991R85852] [定时任务] |清理过期的ETC交易共享数据：3701643319_鲁VP0013_1_
[2026-05-14 00:00:10.991] [37016433] [INFO] [L3701643300T20260514000010991R85852] [定时任务] |清理过期的ETC交易共享数据：3701643302_苏CPU755_1_称重数据缺失
[2026-05-14 00:00:10.991] [37016433] [INFO] [L3701643300T20260514000010991R85852] [定时任务] |清理过期的ETC交易共享数据：3701643302_鲁UM0201_1_
[2026-05-14 00:00:56.178] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260513230004","axleTime":"2026-05-13T23:17:58","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"1","msgId":"37016433022026051400295662","picId":null,"plateColor":0,"plateNum":"鲁DK909Q","pushTime":"2026-05-14T00:00:56","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000011","vehicleColor":0,"vehicleHeigth":1951,"vehicleLength":4647,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":36,"vehicleWheelBase":"2981","vehicleWidth":1830}
[2026-05-14 00:01:00.289] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/DevInfo/Vlpr】,QOS 【0】, 内容:{"faceFeatureCode":"0000","msgId":"37016433022026051400295663","picFlag":1,"picId":"G0015370050030101002020260514000001","picTime":"2026-05-14T00:00:58","plateColor":0,"plateNum":"鲁DK909Q","pushTime":"2026-05-14T00:01:00","reliability":96,"vehFeatureCode":"0000","vehicleColor":0,"vehicleModel":"0000","vehicleSpeed":0,"vprNo":null}
[2026-05-14 00:01:16.503] [37016433] [INFO] [L370164335FT20260514000116502R86120] [数据交互|收到设备控制服务数据] |95车道--外设控制服务输入信息(ETC交易受理E1)为FFFF001000000196E100370164335F0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221C14B63701024424543772C9BDB6AB370100011640202504032035040310200100000000000000000000C2B3555630323637000000000001160023BE09F60C8000000000390800465002000000000000000015531BD7386D865492000000000000000000AEB769E0751CA5FFFFFFFFFFFFFFFFFFFFFFFFFFFF000000000000000000000000000000000000FFFB7B78C9BDB6AB370100011740370123042323676926912025040320350403C2B355563032363700000000000116AA290037012452036A049ECE16013D730A6A049FD9C2B3555630323637000000000102003EBCFF0000017400AA290037012452036A049ECE16013D730A6A049FD9C2B3555630323637000000000102003EBCFFC9BDB6AB3701000117403701230423236769269100010001B600017400030013B1000000000001B603000174F1BD62DDD750FB98000000200000002000017786880764050301000000000000000000B52F
[2026-05-14 00:01:16.503] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|车辆交易数据处理] |95车道交易受理--解析交易受理请求成功，开始处理
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [OBU信息|系统信息] |收到OBU信息，标签号：221C14B6；OBU序列号：3701024424543772；启用时间：20250403；到期时间：20350403；发行方：山东37010001；OBU状态：00100000
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [OBU信息|车辆信息] |收到OBU车辆信息，车牌号：鲁UV0267；车牌颜色：1；车型：22；车辆用户类型：0；核载质量：0；整备质量：14600；车辆总重：18000；核载人数：2
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [OBU信息|EF04信息] |EF04中0019：AA290037012452036A049ECE16013D730A6A049FD9C2B3555630323637000000000102003EBCFF  交易标识：AA2900；通行路网号：3701；通行收费站：2452；通行车道：03；通行时间：2026-05-13 23:54:54；通行车型：22；通行状态：01；通行门架编号：3D730A；通行门架时间：2026-05-13 23:59:21；车牌号：鲁UV0267；车牌颜色：1；货车轴数：2；货车总重：16060；车辆状态标识：FF 
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [OBU信息|EF04信息] |EF04中0015：C9BDB6AB37010001174037012304232367692691  发行方：山东37010001；卡片类型：23；卡片版本：40；卡片网络号：3701；卡号：2304232367692691；车辆用户类型：0；通行省份个数：1；累计应收金额：438；累计实收金额：372；累计交易成功次数：3；累计里程：5041；无卡次数：0；本省应收金额：438；本省实收金额：372；本省交易成功次数：3；
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [ETC卡信息|0002] |卡内余额：4294671224
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [ETC卡信息|0015] |发行方：山东37010001；卡片类型：23；卡片版本：40；卡片网络号：3701；卡号：2304232367692691；启用时间：20250403；到期时间：20350403；用户类型：0；车牌号：鲁UV0267；车牌颜色：1；车型：22
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [ETC卡信息|0019] |通行路网号：3701；通行收费站：2452；通行车道：03；通行时间：2026-05-13 23:54:54；通行车型：22；通行状态：01；通行门架编号：3D730A；通行门架时间：2026-05-13 23:59:21；车牌号：鲁UV0267；车牌颜色：1；货车轴数：2；货车总重：16060；车辆状态标识：FF 
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|车辆交易数据处理] |95车道匝道出口交易受理--车辆鲁UV0267开始进行校验
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询标签是否拆卸 OBU拆卸状态位：0；未拆卸
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询车辆是否重复交易 本车道类型：6；本站HEX：37016433；上次通行状态：01；上次通行站HEX：37012452； 非重复交易
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询标签是否插卡 OBU卡存在状态位：0；卡存在
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询标签是否低电量 OBU电池状态位位：0；电池正常
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询标签是否锁定 OBU锁定状态位：0；未锁定
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询OBU发行期是否过期 启用日期：2025-04-03 00:00:00；结束日期：2035-04-03 00:00:00；在有效期内
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询车型是否合规 车型：22；合规
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询OBU发行方是否有效 发行方省份：山东；发行方有效
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询车辆状态名单 网络编号:3701；标签号：3701024424543772；卡号：2304232367692691；车牌号：鲁UV0267；车牌颜色：1
[2026-05-14 00:01:16.504] [37016433] [INFO] [L370164335FT20260514000116503R86121] [数据交互|发送名单服务数据] |查询全国名单服务信息 请求：{"filename":"BASIC_LIST_QUERY_REQ_370164335F_20260514000116504.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051400088861","info":[{"cardId":"37012304232367692691","obuId":"3701024424543772","queryType":1},{"vehicleId":"鲁UV0267_1","queryType":2},{"cardId":"37012304232367692691","vehicleId":"鲁UV0267_1","queryType":3},{"vehicleId":"鲁UV0267_1","queryType":4},{"vehicleId":"鲁UV0267_1","queryType":5},{"vehicleId":"鲁UV0267_1","queryType":6},{"laneType":6,"vehicleId":"鲁UV0267_1","queryType":7}]},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:01:16"}
[2026-05-14 00:01:16.513] [37016433] [INFO] [L370164335FT20260514000116503R86121] [数据交互|收到名单服务数据] |查询全国名单服务信息 响应：{"filename":"BASIC_LIST_QUERY_RES_370164335F_20260514000116507.json","bizContent":"{\"receiveTime\":\"2026-05-14T00:01:16.507\",\"code\":\"1\",\"codeInfo\":\"无记录\",\"msgId\":\"370164335F2026051400088861\",\"info\":[{\"queryType\":1,\"status\":0},{\"queryType\":2,\"status\":0},{\"queryType\":3,\"status\":0},{\"queryType\":4,\"status\":0},{\"queryType\":5,\"status\":0},{\"queryType\":6,\"status\":0},{\"queryType\":7,\"status\":0}]}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:01:16.513] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询ETC卡发行期是否过期 启用日期：2025-04-03 00:00:00；结束日期：2035-04-03 00:00:00；在有效期内
[2026-05-14 00:01:16.513] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询ETC卡是否锁定 0019锁定标志：00；未锁定
[2026-05-14 00:01:16.513] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询ETC卡类型是否合法 卡类型：23；合法
[2026-05-14 00:01:16.513] [37016433] [INFO] [L370164335FT20260514000116503R86121] [数据交互|发送名单服务数据] |查询区域编码信息 请求：{"filename":"ISSUER_LIST_REQ_370164335F_20260514000116513.json","sign":"NONE","bizContent":{"issuerNet":"3701","msgId":"370164335F2026051400088862"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:01:16"}
[2026-05-14 00:01:16.516] [37016433] [INFO] [L370164335FT20260514000116503R86121] [数据交互|收到名单服务数据] |查询区域编码信息 响应：{"filename":"ISSUER_LIST_RES_370164335F_20260514000116515.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"issuerInfo\":[{\"issuerId\":\"3701\",\"issuerNet\":\"3701\",\"briefName\":\"山东\",\"fullName\":\"山东\",\"startTime\":\"1900-01-01T00:00:00\",\"endTime\":\"2100-01-01T00:00:00\",\"factor\":\"山东\"}],\"receiveTime\":\"2026-05-14T00:01:16.515\",\"msgId\":\"370164335F2026051400088862\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:01:16.516] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询ETC卡发行方是否有效 卡网络编号：3701；在区域编码字典中，发行方有效
[2026-05-14 00:01:16.516] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询卡签车牌是否一致 标签内车牌_颜色：鲁UV0267_1；卡内车牌_颜色：鲁UV0267_1；一致
[2026-05-14 00:01:16.516] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询卡签车型是否一致 标签内车型：22；卡内车型：22；一致
[2026-05-14 00:01:16.516] [37016433] [INFO] [L370164335FT20260514000116503R86121] [221C14B6] [处理流程|有效性判断] |查询卡签发行方是否一致 标签内发行方：山东；卡内发行方：山东；一致
