[2026-05-14 17:00:00.004] [3701643319] [INFO] [L3701643319T20260514165959959R11728] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63A0637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000020000024B011871
[2026-05-14 17:00:00.092] [3701643319] [INFO] [L3701643319T20260514170000092R11734] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00100000002CC10000019E25B6D6DC37016433190000000000000000E101010011E101C2405F137837010856001226730100C0AE
[2026-05-14 17:00:00.136] [3701643319] [INFO] [L3701643319T20260514170000092R11734] [数据交互|收到RSU数据] |RSU数据：FFFF00200000004A1C0000019E25B63A8B37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000024C0168DA
[2026-05-14 17:00:00.136] [3701643319] [INFO] [L3701643319T20260514170000136R11735] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000024C01
[2026-05-14 17:00:00.137] [3701643319] [INFO] [L3701643319T20260514170000136R11736] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.137] [3701643319] [INFO] [L3701643319T20260514170000136R11736] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00200000002CC10000019E25B6D70937016433190000000000000000E101010011E101C2405F137837010856001226730100CA52
[2026-05-14 17:00:00.180] [3701643319] [INFO] [L3701643319T20260514170000136R11736] [数据交互|收到RSU数据] |RSU数据：FFFF00300000004A1C0000019E25B63AB637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024401AADB
[2026-05-14 17:00:00.180] [3701643319] [INFO] [L3701643319T20260514170000180R11737] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024401
[2026-05-14 17:00:00.180] [3701643319] [INFO] [L3701643319T20260514170000180R11738] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.180] [3701643319] [INFO] [L3701643319T20260514170000180R11738] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00300000002CC10000019E25B6D73437016433190000000000000000E101010011E101C2405F137837010856001226730100980C
[2026-05-14 17:00:00.223] [3701643319] [INFO] [L3701643319T20260514170000180R11738] [数据交互|收到RSU数据] |RSU数据：FFFF00400000004A1C0000019E25B63AE237016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000030000024C018383
[2026-05-14 17:00:00.224] [3701643319] [INFO] [L3701643319T20260514170000223R11739] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000030000024C01
[2026-05-14 17:00:00.224] [3701643319] [INFO] [L3701643319T20260514170000224R11740] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.224] [3701643319] [INFO] [L3701643319T20260514170000224R11740] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00400000002CC10000019E25B6D76037016433190000000000000000E101010011E101C2405F1378370108560012267301009122
[2026-05-14 17:00:00.268] [3701643319] [INFO] [L3701643319T20260514170000224R11740] [数据交互|收到RSU数据] |RSU数据：FFFF00500000004A1C0000019E25B63B0E37016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000400000242012758
[2026-05-14 17:00:00.268] [3701643319] [INFO] [L3701643319T20260514170000268R11741] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024201
[2026-05-14 17:00:00.268] [3701643319] [INFO] [L3701643319T20260514170000268R11742] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.268] [3701643319] [INFO] [L3701643319T20260514170000268R11742] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00500000002CC10000019E25B6D78C37016433190000000000000000E101010011E101C2405F13783701085600122673010038B7
[2026-05-14 17:00:00.312] [3701643319] [INFO] [L3701643319T20260514170000268R11742] [数据交互|收到RSU数据] |RSU数据：FFFF00600000004A1C0000019E25B63B3A37016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000400000248013599
[2026-05-14 17:00:00.312] [3701643319] [INFO] [L3701643319T20260514170000312R11743] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024801
[2026-05-14 17:00:00.312] [3701643319] [INFO] [L3701643319T20260514170000312R11744] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.312] [3701643319] [INFO] [L3701643319T20260514170000312R11744] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00600000002CC10000019E25B6D7B837016433190000000000000000E101010011E101C2405F137837010856001226730100C720
[2026-05-14 17:00:00.357] [3701643319] [INFO] [L3701643319T20260514170000312R11744] [数据交互|收到RSU数据] |RSU数据：FFFF00700000004A1C0000019E25B63B6737016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000500000236019551
[2026-05-14 17:00:00.357] [3701643319] [INFO] [L3701643319T20260514170000357R11745] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023601
[2026-05-14 17:00:00.357] [3701643319] [INFO] [L3701643319T20260514170000357R11746] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.357] [3701643319] [INFO] [L3701643319T20260514170000357R11746] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00700000002CC10000019E25B6D7E537016433190000000000000000E101010011E101C2405F137837010856001226730100F491
[2026-05-14 17:00:00.399] [3701643319] [INFO] [L3701643319T20260514170000357R11746] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63B9237016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023E016B25
[2026-05-14 17:00:00.399] [3701643319] [INFO] [L3701643319T20260514170000399R11747] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023E01
[2026-05-14 17:00:00.399] [3701643319] [INFO] [L3701643319T20260514170000399R11748] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.399] [3701643319] [INFO] [L3701643319T20260514170000399R11748] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25B6D80F37016433190000000000000000E101010011E101C2405F13783701085600122673010093D6
[2026-05-14 17:00:00.444] [3701643319] [INFO] [L3701643319T20260514170000399R11748] [数据交互|收到RSU数据] |RSU数据：FFFF00900000004A1C0000019E25B63BBE37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023501FABE
[2026-05-14 17:00:00.444] [3701643319] [INFO] [L3701643319T20260514170000444R11749] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023501
[2026-05-14 17:00:00.444] [3701643319] [INFO] [L3701643319T20260514170000444R11750] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.444] [3701643319] [INFO] [L3701643319T20260514170000444R11750] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00900000002CC10000019E25B6D83C37016433190000000000000000E101010011E101C2405F1378370108560012267301007A34
[2026-05-14 17:00:00.488] [3701643319] [INFO] [L3701643319T20260514170000444R11750] [数据交互|收到RSU数据] |RSU数据：FFFF00100000004A1C0000019E25B63BEB37016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000400000240014EB2
[2026-05-14 17:00:00.489] [3701643319] [INFO] [L3701643319T20260514170000489R11751] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024001
[2026-05-14 17:00:00.489] [3701643319] [INFO] [L3701643319T20260514170000489R11752] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.489] [3701643319] [INFO] [L3701643319T20260514170000489R11752] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00100000002CC10000019E25B6D86937016433190000000000000000E101010011E101C2405F13783701085600122673010084C8
[2026-05-14 17:00:00.532] [3701643319] [INFO] [L3701643319T20260514170000489R11752] [数据交互|收到RSU数据] |RSU数据：FFFF00200000004A1C0000019E25B63C1637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024901C88C
[2026-05-14 17:00:00.532] [3701643319] [INFO] [L3701643319T20260514170000532R11753] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024901
[2026-05-14 17:00:00.532] [3701643319] [INFO] [L3701643319T20260514170000532R11754] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.532] [3701643319] [INFO] [L3701643319T20260514170000532R11754] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00200000002CC10000019E25B6D89437016433190000000000000000E101010011E101C2405F1378370108560012267301005EE3
[2026-05-14 17:00:00.576] [3701643319] [INFO] [L3701643319T20260514170000532R11754] [数据交互|收到RSU数据] |RSU数据：FFFF00300000004A1C0000019E25B63C4337016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024101E6EA
[2026-05-14 17:00:00.576] [3701643319] [INFO] [L3701643319T20260514170000576R11755] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000024101
[2026-05-14 17:00:00.576] [3701643319] [INFO] [L3701643319T20260514170000576R11756] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.577] [3701643319] [INFO] [L3701643319T20260514170000576R11756] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00300000002CC10000019E25B6D8C037016433190000000000000000E101010011E101C2405F1378370108560012267301008B30
[2026-05-14 17:00:00.620] [3701643319] [INFO] [L3701643319T20260514170000576R11756] [数据交互|收到RSU数据] |RSU数据：FFFF00400000004A1C0000019E25B63C6E37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023A019871
[2026-05-14 17:00:00.620] [3701643319] [INFO] [L3701643319T20260514170000620R11757] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023A01
[2026-05-14 17:00:00.620] [3701643319] [INFO] [L3701643319T20260514170000620R11758] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.620] [3701643319] [INFO] [L3701643319T20260514170000620R11758] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00400000002CC10000019E25B6D8EC37016433190000000000000000E101010011E101C2405F1378370108560012267301003D86
[2026-05-14 17:00:00.664] [3701643319] [INFO] [L3701643319T20260514170000620R11758] [数据交互|收到RSU数据] |RSU数据：FFFF00500000004A1C0000019E25B63C9B37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000024201018E
[2026-05-14 17:00:00.664] [3701643319] [INFO] [L3701643319T20260514170000664R11759] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000024201
[2026-05-14 17:00:00.664] [3701643319] [INFO] [L3701643319T20260514170000664R11760] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.664] [3701643319] [INFO] [L3701643319T20260514170000664R11760] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00500000002CC10000019E25B6D91837016433190000000000000000E101010011E101C2405F137837010856001226730100F03B
[2026-05-14 17:00:00.708] [3701643319] [INFO] [L3701643319T20260514170000664R11760] [数据交互|收到RSU数据] |RSU数据：FFFF00600000004A1C0000019E25B63CC637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023A01188C
[2026-05-14 17:00:00.708] [3701643319] [INFO] [L3701643319T20260514170000708R11761] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023A01
[2026-05-14 17:00:00.708] [3701643319] [INFO] [L3701643319T20260514170000708R11762] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.708] [3701643319] [INFO] [L3701643319T20260514170000708R11762] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00600000002CC10000019E25B6D94437016433190000000000000000E101010011E101C2405F137837010856001226730100246E
[2026-05-14 17:00:00.752] [3701643319] [INFO] [L3701643319T20260514170000708R11762] [数据交互|收到RSU数据] |RSU数据：FFFF00700000004A1C0000019E25B63CF337016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023901149F
[2026-05-14 17:00:00.752] [3701643319] [INFO] [L3701643319T20260514170000752R11763] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023901
[2026-05-14 17:00:00.752] [3701643319] [INFO] [L3701643319T20260514170000752R11764] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.753] [3701643319] [INFO] [L3701643319T20260514170000752R11764] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00700000002CC10000019E25B6D97037016433190000000000000000E101010011E101C2405F1378370108560012267301009052
[2026-05-14 17:00:00.796] [3701643319] [INFO] [L3701643319T20260514170000752R11764] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63D1F37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023C01DB59
[2026-05-14 17:00:00.796] [3701643319] [INFO] [L3701643319T20260514170000796R11765] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023C01
[2026-05-14 17:00:00.796] [3701643319] [INFO] [L3701643319T20260514170000796R11766] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.796] [3701643319] [INFO] [L3701643319T20260514170000796R11766] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25B6D99C37016433190000000000000000E101010011E101C2405F137837010856001226730100C387
[2026-05-14 17:00:00.840] [3701643319] [INFO] [L3701643319T20260514170000796R11766] [数据交互|收到RSU数据] |RSU数据：FFFF00900000004A1C0000019E25B63D4B37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000060000023B015A71
[2026-05-14 17:00:00.840] [3701643319] [INFO] [L3701643319T20260514170000840R11767] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000060000023B01
[2026-05-14 17:00:00.840] [3701643319] [INFO] [L3701643319T20260514170000840R11768] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.840] [3701643319] [INFO] [L3701643319T20260514170000840R11768] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00900000002CC10000019E25B6D9C837016433190000000000000000E101010011E101C2405F1378370108560012267301001654
[2026-05-14 17:00:00.884] [3701643319] [INFO] [L3701643319T20260514170000840R11768] [数据交互|收到RSU数据] |RSU数据：FFFF00100000004A1C0000019E25B63D7737016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023D01F430
[2026-05-14 17:00:00.884] [3701643319] [INFO] [L3701643319T20260514170000884R11769] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023D01
[2026-05-14 17:00:00.884] [3701643319] [INFO] [L3701643319T20260514170000884R11770] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.884] [3701643319] [INFO] [L3701643319T20260514170000884R11770] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00100000002CC10000019E25B6D9F437016433190000000000000000E101010011E101C2405F1378370108560012267301006F25
[2026-05-14 17:00:00.928] [3701643319] [INFO] [L3701643319T20260514170000884R11770] [数据交互|收到RSU数据] |RSU数据：FFFF00200000004A1C0000019E25B63DA337016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023F0113F5
[2026-05-14 17:00:00.928] [3701643319] [INFO] [L3701643319T20260514170000928R11771] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023F01
[2026-05-14 17:00:00.928] [3701643319] [INFO] [L3701643319T20260514170000928R11772] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.929] [3701643319] [INFO] [L3701643319T20260514170000928R11772] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00200000002CC10000019E25B6DA2137016433190000000000000000E101010011E101C2405F1378370108560012267301001976
[2026-05-14 17:00:00.972] [3701643319] [INFO] [L3701643319T20260514170000928R11772] [数据交互|收到RSU数据] |RSU数据：FFFF00300000004A1C0000019E25B63DCE37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000060000023B015592
[2026-05-14 17:00:00.972] [3701643319] [INFO] [L3701643319T20260514170000972R11773] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000060000023B01
[2026-05-14 17:00:00.972] [3701643319] [INFO] [L3701643319T20260514170000972R11774] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.972] [3701643319] [INFO] [L3701643319T20260514170000972R11774] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00300000002CC10000019E25B6DA4C37016433190000000000000000E101010011E101C2405F1378370108560012267301009E38
[2026-05-14 17:00:01.017] [3701643319] [INFO] [L3701643319T20260514170000972R11774] [数据交互|收到RSU数据] |RSU数据：FFFF00400000004A1C0000019E25B63DFB37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000080000023A016CAC
[2026-05-14 17:00:01.017] [3701643319] [INFO] [L3701643319T20260514170001017R11775] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000080000023A01
[2026-05-14 17:00:01.017] [3701643319] [INFO] [L3701643319T20260514170001017R11776] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.017] [3701643319] [INFO] [L3701643319T20260514170001017R11776] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00400000002CC10000019E25B6DA7937016433190000000000000000E101010011E101C2405F1378370108560012267301005AB6
[2026-05-14 17:00:01.060] [3701643319] [INFO] [L3701643319T20260514170001017R11776] [数据交互|收到RSU数据] |RSU数据：FFFF00500000004A1C0000019E25B63E2637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023601B017
[2026-05-14 17:00:01.060] [3701643319] [INFO] [L3701643319T20260514170001060R11777] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023601
[2026-05-14 17:00:01.060] [3701643319] [INFO] [L3701643319T20260514170001060R11778] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.060] [3701643319] [INFO] [L3701643319T20260514170001060R11778] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00500000002CC10000019E25B6DAA437016433190000000000000000E101010011E101C2405F137837010856001226730100EB93
[2026-05-14 17:00:01.104] [3701643319] [INFO] [L3701643319T20260514170001060R11778] [数据交互|收到RSU数据] |RSU数据：FFFF00600000004A1C0000019E25B63E5337016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000060000023E01C179
[2026-05-14 17:00:01.104] [3701643319] [INFO] [L3701643319T20260514170001104R11779] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000060000023E01
[2026-05-14 17:00:01.104] [3701643319] [INFO] [L3701643319T20260514170001104R11780] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.104] [3701643319] [INFO] [L3701643319T20260514170001104R11780] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00600000002CC10000019E25B6DAD037016433190000000000000000E101010011E101C2405F137837010856001226730100554E
[2026-05-14 17:00:01.148] [3701643319] [INFO] [L3701643319T20260514170001104R11780] [数据交互|收到RSU数据] |RSU数据：FFFF00700000004A1C0000019E25B63E7E37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023801CC1C
[2026-05-14 17:00:01.148] [3701643319] [INFO] [L3701643319T20260514170001148R11781] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023801
[2026-05-14 17:00:01.148] [3701643319] [INFO] [L3701643319T20260514170001148R11782] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.148] [3701643319] [INFO] [L3701643319T20260514170001148R11782] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00700000002CC10000019E25B6DAFC37016433190000000000000000E101010011E101C2405F1378370108560012267301003F05
[2026-05-14 17:00:01.192] [3701643319] [INFO] [L3701643319T20260514170001148R11782] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63EAB37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023D013854
[2026-05-14 17:00:01.192] [3701643319] [INFO] [L3701643319T20260514170001192R11783] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000050000023D01
[2026-05-14 17:00:01.192] [3701643319] [INFO] [L3701643319T20260514170001192R11784] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.193] [3701643319] [INFO] [L3701643319T20260514170001192R11784] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25B6DB2837016433190000000000000000E101010011E101C2405F137837010856001226730100285D
[2026-05-14 17:00:01.236] [3701643319] [INFO] [L3701643319T20260514170001192R11784] [数据交互|收到RSU数据] |RSU数据：FFFF00900000004A1C0000019E25B63ED637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023701B57C
[2026-05-14 17:00:01.236] [3701643319] [INFO] [L3701643319T20260514170001236R11785] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000040000023701
[2026-05-14 17:00:01.236] [3701643319] [INFO] [L3701643319T20260514170001236R11786] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:01.236] [3701643319] [INFO] [L3701643319T20260514170001236R11786] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00900000002CC10000019E25B6DB5437016433190000000000000000E101010011E101C2405F1378370108560012267301009706
[2026-05-14 17:00:01.283] [3701643319] [INFO] [L3701643319T20260514170001236R11786] [数据交互|收到RSU数据] |RSU数据：FFFF00100000004A1C0000019E25B63F0537016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000500000234015434
